Sequence§Taux de parole
SEQ_089§0.4555717407137655
SEQ_090§0.419327731092437
SEQ_091§0.32543978349120434
SEQ_092§0.28628362670209234
SEQ_093§0.45996275605214154
SEQ_094§0.35926928281461434
SEQ_095§0.47651734104046245
SEQ_096§0.4391796322489392
SEQ_097§0.49033342673017655
SEQ_098§0.3854143147437345
SEQ_099§0.5094791893658749
SEQ_100§0.259499263622975
SEQ_101§0.24821832087606466
SEQ_102§0.3006416131989001
SEQ_103§0.2952029520295203
SEQ_104§0.30511119781506046
SEQ_105§0.12459703417150225
SEQ_106§0.2642663043478261
SEQ_107§0.33112582781456956
SEQ_108§0.3924903722721438
SEQ_109§0.5909677419354838
SEQ_110§0.2566403445800431
SEQ_111§0.4367306745445593
SEQ_112§0.21997635933806148
SEQ_113§0.2487088444157521
SEQ_114§0.40222575516693165
SEQ_115§0.7051897078063672
SEQ_116§0.35730541647701414
SEQ_117§0.40784313725490196
SEQ_118§0.40519083969465647
SEQ_119§0.18786738772631084
SEQ_120§0.25254452926208654
SEQ_121§0.3249811320754717
SEQ_122§0.3891396878627628
SEQ_123§0.2538497433504433
SEQ_124§0.5501792114695341
SEQ_125§0.17618694362017803
SEQ_126§0.2092511013215859
SEQ_127§0.23184618256486839
SEQ_128§0.5279383429672447
SEQ_129§0.5832003481793123
SEQ_130§0.5956889018351296
SEQ_131§0.3911419423692636
SEQ_132§0.6094117647058823
SEQ_133§0.6886792452830188
SEQ_134§0.3088932431578282
SEQ_135§0.2368831168831169
SEQ_136§0.19965576592082615
SEQ_137§0.4413322185061315
SEQ_138§0.38987730061349696
SEQ_139§0.2700284668564457
SEQ_140§0.5785010940919038
SEQ_141§0.43724137931034485
SEQ_142§0.31420192710515293
SEQ_143§0.30649500384319756
SEQ_144§0.41971454058876
SEQ_145§0.3462577160493827
SEQ_146§0.38975155279503104
SEQ_147§0.3946840521564694
SEQ_148§0.40450375312760634
SEQ_149§0.4035351635953366
SEQ_150§0.3964447425792386
SEQ_151§0.5927166178317288
SEQ_152§0.36990801576872534
SEQ_153§0.5110062893081762
SEQ_154§0.4964964964964965
SEQ_155§0.3436625349860056
SEQ_156§0.2884468247895945
SEQ_157§0.31245923026744943
SEQ_158§0.44395017793594305
SEQ_159§0.21550894746969407
SEQ_160§0.4914721723518851
SEQ_161§0.19217586573691053
SEQ_162§0.34282700421940926
SEQ_163§0.4260284810126582
SEQ_164§0.4865860679332182
SEQ_165§0.33108504398826977
SEQ_166§0.3863674426394239
SEQ_167§0.2986834348595009
SEQ_168§0.2883096366508689
SEQ_169§0.38389366692728694
SEQ_170§0.6789423984891407
SEQ_171§0.5607420706163974
SEQ_172§0.6403549743110696
SEQ_173§0.44772668892884665
SEQ_174§0.43548387096774194
SEQ_175§0.3802267895109851
SEQ_176§0.47009013930620047
SEQ_177§0.22332942555685814
SEQ_178§0.1983718937446444
SEQ_179§0.5401633764465623
SEQ_180§0.22648165569143933
SEQ_181§0.3681785967399008
SEQ_182§0.40554738390418155
SEQ_183§0.24466921815199563
SEQ_184§0.5031988188976378
SEQ_185§0.6266137040714995
SEQ_186§0.409054805401112
SEQ_187§0.4255623721881391
SEQ_188§0.6155598958333334
SEQ_189§0.41237745098039214
SEQ_190§0.5585264408793821
SEQ_191§0.2895791583166333
SEQ_192§0.47109745881038817
SEQ_193§0.37707509881422924
SEQ_194§0.3723076923076923
SEQ_195§0.3292656112576957
SEQ_196§0.32834556747600224
SEQ_197§0.3665170319514127
SEQ_198§0.39483870967741935
SEQ_199§0.4285439137134052
SEQ_200§0.28231733679204496
SEQ_201§0.32054455445544555
SEQ_202§0.43417085427135677
SEQ_203§0.6231003039513677
SEQ_204§0.21510451786918408
SEQ_205§0.3563303659742829
SEQ_206§0.4162374294824626
SEQ_207§0.48787528868360275
SEQ_208§0.42994996426018584
SEQ_209§0.25255669186305024
SEQ_210§0.4625503355704698
SEQ_211§0.37783122870314695
SEQ_212§0.20018478595626732
SEQ_213§0.3209017534094072
SEQ_214§0.30118289353958144
SEQ_215§0.18235730170496664
SEQ_216§0.48046875
SEQ_217§0.264896033548838
SEQ_218§0.3394980184940555
SEQ_219§0.43952779297943867
SEQ_220§0.3873239436619718
SEQ_221§0.3585127201565558
SEQ_222§0.3442409230167525
SEQ_223§0.4097070397901181
SEQ_224§0.40148051382538646
SEQ_225§0.3152266894781865
SEQ_226§0.25
SEQ_227§0.5368589743589743
SEQ_228§0.36390728476821194
SEQ_229§0.36734028683181225
SEQ_230§0.6045650832819247
SEQ_231§0.29683345419386026
SEQ_232§0.29366028708133973
SEQ_233§0.22982216142270862
SEQ_234§0.268059181897302
SEQ_235§0.44167704441677047
SEQ_236§0.5163708086785009
SEQ_237§0.6887886597938144
SEQ_238§0.3091276978417266
SEQ_239§0.2760808270676692
SEQ_240§0.3114941754763989
SEQ_241§0.48424068767908307
SEQ_242§0.21567382192302806
SEQ_243§0.199535192563081
SEQ_244§0.27963671128107076
SEQ_245§0.33186813186813185
SEQ_246§0.18351477449455678
SEQ_247§0.5642317380352645
SEQ_248§0.2378074197582326
SEQ_249§0.5449974861739567
SEQ_250§0.29838709677419356
SEQ_251§0.2065819485174324
SEQ_252§0.4984917043740573
SEQ_253§0.5014740566037735
SEQ_254§0.4290072752874912
SEQ_255§0.24035941594908275
SEQ_256§0.3928926441351889
SEQ_257§0.22318262411347517
SEQ_258§0.3336843952957697
SEQ_259§0.4629798903107861
SEQ_260§0.41049935979513447
SEQ_261§0.2942773128251527
SEQ_262§0.37894736842105264
SEQ_263§0.2950488379925901
SEQ_264§0.29208400646203553
SEQ_265§0.38540728348989833
SEQ_266§0.4724293785310735
SEQ_267§0.25605424604455923
SEQ_268§0.5880171740827479
SEQ_269§0.32019211526916147
SEQ_270§0.4915811088295688
SEQ_271§0.31293157564344004
SEQ_272§0.37519788918205804
SEQ_273§0.2277452891487979
SEQ_274§0.28132832080200504
SEQ_275§0.33227243793761935
SEQ_276§0.35109114249037227
SEQ_277§0.5022788203753351
SEQ_278§0.18181818181818182
SEQ_279§0.4905771495877503
SEQ_280§0.5583173996175909
SEQ_281§0.23736968724939855
SEQ_282§0.5132167547783651
SEQ_283§0.27856747277090643
SEQ_284§0.4903169014084507
SEQ_285§0.6913002806361085
SEQ_286§0.581518540317834
SEQ_287§0.3126588713777326
SEQ_288§0.4654398563734291
SEQ_289§0.45307830245068736
SEQ_290§0.19976423648893726
SEQ_291§0.2708333333333333
SEQ_292§0.40200818148010414
SEQ_293§0.2799739180047274
SEQ_294§0.49774943735933985
SEQ_295§0.10385793018983466
SEQ_296§0.5845845845845846
SEQ_297§0.2564954682779456
SEQ_298§0.23231031543052003
SEQ_299§0.4074004153294318
SEQ_300§0.24232154204617665
SEQ_301§0.5170757737459979
SEQ_302§0.23265306122448978
SEQ_303§0.4096085409252669
SEQ_304§0.20297664870413137
SEQ_305§0.18707397121938904
SEQ_306§0.3999533582089552
SEQ_307§0.35698348951361
SEQ_308§0.38673708920187794
