§s_index§start§end
SEQ_012§111§00:13:35,850§00:13:39,377
SEQ_012§112§00:13:39,487§00:13:41,512
SEQ_012§113§00:13:41,622§00:13:43,146
SEQ_012§114§00:13:44,692§00:13:47,286
SEQ_012§115§00:13:47,395§00:13:52,230
SEQ_012§116§00:13:52,934§00:13:54,993
SEQ_012§117§00:13:59,106§00:14:02,803
SEQ_012§118§00:14:03,878§00:14:06,472
SEQ_012§119§00:14:07,581§00:14:09,048
SEQ_012§120§00:14:09,150§00:14:11,345
SEQ_012§121§00:14:12,053§00:14:13,816
SEQ_012§122§00:14:15,256§00:14:16,883
SEQ_012§123§00:14:22,096§00:14:24,291
SEQ_013§403§01:04:33,356§01:04:36,390
SEQ_013§404§01:04:36,744§01:04:38,844
SEQ_013§405§01:04:39,973§01:04:43,632
SEQ_013§406§01:04:44,312§01:04:51,561
SEQ_013§407§01:04:52,030§01:04:56,841
SEQ_013§408§01:04:57,115§01:04:58,625
SEQ_013§409§01:04:58,894§01:04:59,864
SEQ_013§410§01:05:00,625§01:05:02,294
SEQ_013§411§01:05:02,702§01:05:04,351
SEQ_013§412§01:05:04,782§01:05:06,359
SEQ_013§413§01:05:06,742§01:05:10,234
SEQ_013§414§01:05:10,890§01:05:14,422
SEQ_013§415§01:05:14,898§01:05:16,693
SEQ_013§416§01:05:17,209§01:05:20,708
SEQ_013§417§01:05:21,474§01:05:23,673
SEQ_013§418§01:05:24,237§01:05:28,937
SEQ_013§419§01:05:29,419§01:05:32,386
SEQ_013§420§01:05:32,721§01:05:34,223
SEQ_013§421§01:05:34,709§01:05:38,505
SEQ_013§422§01:05:38,956§01:05:42,458
SEQ_013§423§01:05:43,189§01:05:46,647
SEQ_013§424§01:05:46,990§01:05:50,127
SEQ_014§527§00:41:22,990§00:41:23,677
SEQ_014§528§00:41:23,911§00:41:28,739
SEQ_014§529§00:41:30,901§00:41:31,775
SEQ_014§530§00:41:32,706§00:41:36,157
SEQ_014§531§00:41:36,393§00:41:39,615
SEQ_014§532§00:41:40,809§00:41:41,650
SEQ_014§533§00:41:44,304§00:41:45,483
SEQ_014§534§00:41:45,763§00:41:48,713
SEQ_014§535§00:41:49,028§00:41:50,523
SEQ_014§536§00:41:51,332§00:41:53,593
SEQ_014§537§00:41:54,212§00:41:56,353
SEQ_014§538§00:41:57,285§00:41:58,508
